indices,times,engine,encoded_indices
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.02952122688293457, 0.0009961128234863281, 0.0020334720611572266, 0.002996206283569336, 0.0386807918548584, 0.0039670467376708984, 0.0020003318786621094, 0.005023479461669922, 0.010007381439208984, 0.01971435546875]",InnoDB,I18+I16+I12+I14+I11
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.02951788902282715, 0.0019979476928710938, 0.0020017623901367188, 0.0030210018157958984, 0.03767561912536621, 0.0038099288940429688, 0.0010035037994384766, 0.005301475524902344, 0.010027885437011719, 0.01999688148498535]",InnoDB,I18+I16+I12+I20+I11
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.028780221939086914, 0.0010039806365966797, 0.007004261016845703, 0.0020198822021484375, 0.03806114196777344, 0.0035092830657958984, 0.0010039806365966797, 0.006014823913574219, 0.010103225708007812, 0.017995834350585938]",InnoDB,I18+I16+I14+I20+I11
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.029626846313476562, 0.0019965171813964844, 0.0009975433349609375, 0.0020110607147216797, 0.04018115997314453, 0.004020214080810547, 0.0026013851165771484, 0.006162405014038086, 0.010066747665405273, 0.019048452377319336]",InnoDB,I18+I17+I12+I14+I20
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.03141641616821289, 0.0020008087158203125, 0.0009829998016357422, 0.0031011104583740234, 0.0384061336517334, 0.0040056705474853516, 0.001028299331665039, 0.005034923553466797, 0.01000070571899414, 0.01820087432861328]",InnoDB,I18+I17+I12+I14+I11
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.028420686721801758, 0.0019991397857666016, 0.002028942108154297, 0.0020453929901123047, 0.03790569305419922, 0.003336191177368164, 0.000997781753540039, 0.005027294158935547, 0.010045766830444336, 0.019756793975830078]",InnoDB,I18+I17+I12+I20+I11
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.028284311294555664, 0.0019516944885253906, 0.006021022796630859, 0.002000570297241211, 0.03739428520202637, 0.004003286361694336, 0.0009999275207519531, 0.0050351619720458984, 0.010020017623901367, 0.020053386688232422]",InnoDB,I18+I17+I14+I20+I11
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.028961896896362305, 0.0011937618255615234, 0.0010426044464111328, 0.0020012855529785156, 0.05033612251281738, 0.0031082630157470703, 0.002002239227294922, 0.005020618438720703, 0.01000213623046875, 0.01837015151977539]",InnoDB,I18+I12+I14+I20+I11
"('CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.04123878479003906, 0.002001047134399414, 0.0019996166229248047, 0.0020034313201904297, 0.027518033981323242, 0.00400853157043457, 0.0020089149475097656, 0.005033969879150391, 0.009806394577026367, 0.02037525177001953]",InnoDB,I16+I17+I12+I14+I20
"('CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.04159355163574219, 0.001495361328125, 0.000997304916381836, 0.0030319690704345703, 0.029603242874145508, 0.0040209293365478516, 0.0020585060119628906, 0.004995822906494141, 0.009996652603149414, 0.018063068389892578]",InnoDB,I16+I17+I12+I14+I11
"('CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.0457918643951416, 0.0019996166229248047, 0.001032114028930664, 0.002998828887939453, 0.02816176414489746, 0.003996849060058594, 0.0009989738464355469, 0.005032777786254883, 0.010017871856689453, 0.019044876098632812]",InnoDB,I16+I17+I12+I20+I11
"('CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.042037010192871094, 0.0015888214111328125, 0.007676124572753906, 0.0030031204223632812, 0.029616832733154297, 0.003597259521484375, 0.0020072460174560547, 0.0044629573822021484, 0.012029409408569336, 0.02363109588623047]",InnoDB,I16+I17+I14+I20+I11
"('CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.04245948791503906, 0.002002716064453125, 0.0010023117065429688, 0.00202178955078125, 0.027610301971435547, 0.00400853157043457, 0.002017498016357422, 0.006281137466430664, 0.010043621063232422, 0.01905202865600586]",InnoDB,I16+I12+I14+I20+I11
"('CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.041961669921875, 0.0019578933715820312, 0.0009980201721191406, 0.0019991397857666016, 0.02888321876525879, 0.0047681331634521484, 0.001001596450805664, 0.00468754768371582, 0.010012149810791016, 0.018129587173461914]",InnoDB,I17+I12+I14+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);')","[0.028270959854125977, 0.002030611038208008, 0.0030002593994140625, 0.003025531768798828, 0.037758588790893555, 0.004863739013671875, 0.0016508102416992188, 0.0050241947174072266, 0.009148359298706055, 0.018621444702148438]",InnoDB,I13+I19+I15+I18+I16+I17
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.02703547477722168, 0.0010046958923339844, 0.000997781753540039, 0.002996206283569336, 0.03762698173522949, 0.003997087478637695, 0.0009989738464355469, 0.005605220794677734, 0.010065555572509766, 0.021052837371826172]",InnoDB,I13+I19+I15+I18+I16+I12
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.025651216506958008, 0.0019876956939697266, 0.0029942989349365234, 0.002650737762451172, 0.041568756103515625, 0.005641460418701172, 0.000995635986328125, 0.005017757415771484, 0.010039806365966797, 0.020055770874023438]",InnoDB,I13+I19+I15+I18+I16+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.024152755737304688, 0.0020012855529785156, 0.0029709339141845703, 0.0019996166229248047, 0.03797745704650879, 0.004998683929443359, 0.0020093917846679688, 0.0050237178802490234, 0.009995698928833008, 0.019000530242919922]",InnoDB,I13+I19+I15+I18+I16+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.02258753776550293, 0.001994609832763672, 0.002857685089111328, 0.0030159950256347656, 0.03945016860961914, 0.003931999206542969, 0.0020241737365722656, 0.005029201507568359, 0.01000070571899414, 0.02035379409790039]",InnoDB,I13+I19+I15+I18+I16+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.024561405181884766, 0.0010313987731933594, 0.0010004043579101562, 0.0029976367950439453, 0.0393831729888916, 0.004001140594482422, 0.0019996166229248047, 0.0049724578857421875, 0.01001119613647461, 0.019274473190307617]",InnoDB,I13+I19+I15+I18+I17+I12
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.024619579315185547, 0.0010001659393310547, 0.0020265579223632812, 0.0020287036895751953, 0.04040813446044922, 0.005045413970947266, 0.0010104179382324219, 0.004936933517456055, 0.010016679763793945, 0.019222736358642578]",InnoDB,I13+I19+I15+I18+I17+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.025732755661010742, 0.002002239227294922, 0.003354787826538086, 0.0019969940185546875, 0.03851723670959473, 0.004997730255126953, 0.0020284652709960938, 0.005001068115234375, 0.009996652603149414, 0.018048524856567383]",InnoDB,I13+I19+I15+I18+I17+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.026300668716430664, 0.002002716064453125, 0.0023713111877441406, 0.003038167953491211, 0.03784918785095215, 0.003997802734375, 0.002000570297241211, 0.005006551742553711, 0.010025978088378906, 0.025069236755371094]",InnoDB,I13+I19+I15+I18+I17+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.026743650436401367, 0.0009965896606445312, 0.0019364356994628906, 0.002998828887939453, 0.038153648376464844, 0.003020763397216797, 0.002001523971557617, 0.00500178337097168, 0.01001286506652832, 0.019780397415161133]",InnoDB,I13+I19+I15+I18+I12+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.025522708892822266, 0.0009741783142089844, 0.0019383430480957031, 0.0020198822021484375, 0.037638187408447266, 0.003968477249145508, 0.0019991397857666016, 0.005002737045288086, 0.01011347770690918, 0.019183635711669922]",InnoDB,I13+I19+I15+I18+I12+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.026227235794067383, 0.002017498016357422, 0.0009984970092773438, 0.003000974655151367, 0.0446164608001709, 0.0035424232482910156, 0.0010218620300292969, 0.0050029754638671875, 0.009018898010253906, 0.01983642578125]",InnoDB,I13+I19+I15+I18+I12+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.024706602096557617, 0.0010023117065429688, 0.003000020980834961, 0.002666950225830078, 0.03815960884094238, 0.00500178337097168, 0.00099945068359375, 0.00603795051574707, 0.010068893432617188, 0.019206523895263672]",InnoDB,I13+I19+I15+I18+I14+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.025345802307128906, 0.0010297298431396484, 0.002996683120727539, 0.0029668807983398438, 0.03860926628112793, 0.003960609436035156, 0.001009225845336914, 0.0055234432220458984, 0.010625362396240234, 0.019552946090698242]",InnoDB,I13+I19+I15+I18+I14+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.024037837982177734, 0.0009887218475341797, 0.0020215511322021484, 0.0020012855529785156, 0.03720545768737793, 0.003998517990112305, 0.0019373893737792969, 0.006018638610839844, 0.010021448135375977, 0.018688678741455078]",InnoDB,I13+I19+I15+I18+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.04288077354431152, 0.0020020008087158203, 0.002022266387939453, 0.0029833316802978516, 0.029963254928588867, 0.002996683120727539, 0.0010004043579101562, 0.006067514419555664, 0.00998377799987793, 0.01946282386779785]",InnoDB,I13+I19+I15+I16+I17+I12
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.04328656196594238, 0.0019974708557128906, 0.003035306930541992, 0.003000497817993164, 0.0329279899597168, 0.004625082015991211, 0.001998424530029297, 0.0060193538665771484, 0.010073661804199219, 0.018032312393188477]",InnoDB,I13+I19+I15+I16+I17+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.04223489761352539, 0.001996755599975586, 0.0025272369384765625, 0.0020885467529296875, 0.029375076293945312, 0.005022287368774414, 0.0025174617767333984, 0.005986213684082031, 0.009688377380371094, 0.01934981346130371]",InnoDB,I13+I19+I15+I16+I17+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.04218411445617676, 0.0019762516021728516, 0.0026073455810546875, 0.0030012130737304688, 0.02911972999572754, 0.003015756607055664, 0.001998424530029297, 0.005026578903198242, 0.009011030197143555, 0.022178173065185547]",InnoDB,I13+I19+I15+I16+I17+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.04246234893798828, 0.0010263919830322266, 0.0020449161529541016, 0.002999544143676758, 0.027486562728881836, 0.003020763397216797, 0.002054929733276367, 0.005004167556762695, 0.010673761367797852, 0.01802968978881836]",InnoDB,I13+I19+I15+I16+I12+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.04238128662109375, 0.002003908157348633, 0.0015447139739990234, 0.0020360946655273438, 0.03015422821044922, 0.0035812854766845703, 0.0009987354278564453, 0.005021572113037109, 0.010053873062133789, 0.018691062927246094]",InnoDB,I13+I19+I15+I16+I12+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.04162192344665527, 0.0010061264038085938, 0.002003192901611328, 0.003012418746948242, 0.029728174209594727, 0.007004976272583008, 0.00201416015625, 0.005559682846069336, 0.010004758834838867, 0.019056081771850586]",InnoDB,I13+I19+I15+I16+I12+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.040175437927246094, 0.001001119613647461, 0.003010272979736328, 0.0019991397857666016, 0.028449296951293945, 0.004000186920166016, 0.001001596450805664, 0.008041858673095703, 0.010408639907836914, 0.02045917510986328]",InnoDB,I13+I19+I15+I16+I14+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.039740562438964844, 0.0010006427764892578, 0.002022981643676758, 0.003028392791748047, 0.028623342514038086, 0.0039980411529541016, 0.001996278762817383, 0.004538297653198242, 0.011049509048461914, 0.018163681030273438]",InnoDB,I13+I19+I15+I16+I14+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.04859471321105957, 0.0020160675048828125, 0.0029990673065185547, 0.002983570098876953, 0.028923511505126953, 0.003999948501586914, 0.0019328594207763672, 0.0049741268157958984, 0.00950765609741211, 0.019107341766357422]",InnoDB,I13+I19+I15+I16+I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.043009042739868164, 0.0010030269622802734, 0.001998424530029297, 0.003023386001586914, 0.029516935348510742, 0.004002571105957031, 0.0010025501251220703, 0.005988597869873047, 0.009044885635375977, 0.019051074981689453]",InnoDB,I13+I19+I15+I17+I12+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.04337596893310547, 0.0019741058349609375, 0.0010628700256347656, 0.002002239227294922, 0.02884984016418457, 0.004113674163818359, 0.0009987354278564453, 0.004988908767700195, 0.010003089904785156, 0.019049644470214844]",InnoDB,I13+I19+I15+I17+I12+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.04555320739746094, 0.0009620189666748047, 0.0019991397857666016, 0.0030059814453125, 0.03776717185974121, 0.004010915756225586, 0.002022266387939453, 0.0060040950775146484, 0.010016202926635742, 0.019147396087646484]",InnoDB,I13+I19+I15+I17+I12+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.04532217979431152, 0.0019965171813964844, 0.0030629634857177734, 0.0020294189453125, 0.029317855834960938, 0.006996631622314453, 0.001998424530029297, 0.005021810531616211, 0.010503053665161133, 0.02111983299255371]",InnoDB,I13+I19+I15+I17+I14+I20
